fecha,FlujoMaximo,flujoPromedio,NroLecturas,NroEquipos
10/11/2017,541,175,74,3
11/11/2017,1167,535,93,3
12/11/2017,635,300,69,2
13/11/2017,3103,1376,70,2
14/11/2017,1629,616,92,3
15/11/2017,1027,337,22,2
16/11/2017,701,372,120,3
17/11/2017,509,240,113,3
18/11/2017,1192,538,104,3
19/11/2017,726,258,128,3
20/11/2017,1087,260,112,3
21/11/2017,932,325,127,3
22/11/2017,1203,435,126,3
23/11/2017,2944,1180,80,3
24/11/2017,850,338,79,3
25/11/2017,1248,501,140,3
26/11/2017,1569,640,147,3
27/11/2017,1592,556,127,3
28/11/2017,2036,600,77,3
29/11/2017,834,328,33,3
30/11/2017,1362,474,82,3
01/12/2017,1826,386,38,3
02/12/2017,1666,840,89,3
03/12/2017,1999,900,90,3
04/12/2017,1392,593,101,3
05/12/2017,1374,573,95,3
06/12/2017,832,243,96,3
07/12/2017,1231,520,78,3
08/12/2017,1863,642,78,3
09/12/2017,916,149,31,1
10/12/2017,674,106,40,2
11/12/2017,1233,673,18,3
12/12/2017,1423,541,22,3
13/12/2017,645,317,11,3
14/12/2017,1912,900,17,3
15/12/2017,2022,817,16,3
16/12/2017,487,263,57,3
17/12/2017,783,318,28,3
18/12/2017,3143,1002,65,3
19/12/2017,1738,173,23,3
20/12/2017,1050,369,59,3
21/12/2017,1542,252,33,3
22/12/2017,1102,410,75,3
23/12/2017,588,251,125,2
24/12/2017,1117,401,122,3
25/12/2017,900,362,118,3
26/12/2017,1034,364,88,2
27/12/2017,577,365,22,2
28/12/2017,223,223,13,3
29/12/2017,496,186,31,1
30/12/2017,59,59,10,2
31/12/2017,202,138,6,2
01/01/2018,1823,442,75,3
02/01/2018,2073,573,63,3
03/01/2018,2558,939,102,3
04/01/2018,1076,274,85,2
05/01/2018,3409,720,167,2
06/01/2018,443,259,38,3
07/01/2018,644,309,32,3
08/01/2018,285,199,13,2
09/01/2018,1072,294,87,3
10/01/2018,735,287,43,1
11/01/2018,1153,478,78,2
12/01/2018,2071,402,76,2
13/01/2018,1225,508,34,2
14/01/2018,738,292,70,2
