fecha,hora,cantidad,otro1,otro2,otro3,otro4
02/06/2017,03:50:00.00,406303.26066,0.40630,50.80168,100.48704,0.00000
03/06/2017,02:55:00.00,9315340.97906,9.31534,50.78008,83.34856,2828.42710
03/06/2017,06:00:00.00,1002100.83422,1.00210,21.16884,98.88822,1414.21360
05/06/2017,05:50:00.00,7183310.04242,7.18331,42.89765,99.76482,2236.06800
06/06/2017,03:30:00.00,1631570.49384,1.63157,7.57082,97.64120,1414.21360
10/06/2017,03:05:00.00,3076467.02865,3.07647,42.79004,82.87426,2828.42710
10/06/2017,06:10:00.00,2140710.40043,2.14071,7.45173,97.95843,1000.00000
11/06/2017,03:45:00.00,379458.29345,0.37946,42.97092,99.97319,1000.00000
12/06/2017,02:50:00.00,3675896.72996,3.67590,57.18980,83.79505,2236.06800
12/06/2017,05:55:00.00,8705085.21493,8.70509,33.14797,99.34123,2000.00000
13/06/2017,03:35:00.00,1518994.29319,1.51899,21.32509,98.77623,1000.00000
14/06/2017,05:45:00.00,3003751.21653,3.00375,50.79907,100.19636,2000.00000
15/06/2017,03:20:00.00,27781500.50771,27.78150,6.97906,80.49556,2236.06800
15/06/2017,06:25:00.00,21124942.65102,21.12494,32.93204,82.28635,2236.06800
16/06/2017,05:30:00.00,1308268.00568,1.30827,62.31230,101.10332,2236.06800
17/06/2017,03:10:00.00,22905220.51387,22.90522,32.87752,82.36071,2828.42710
18/06/2017,03:50:00.00,8077274.09926,8.07727,50.81018,100.48842,2236.06800
19/06/2017,02:55:00.00,7603652.74023,7.60365,50.78064,83.34867,2828.42710
19/06/2017,06:00:00.00,7114598.49769,7.11460,21.32126,98.89626,1414.21360
20/06/2017,03:40:00.00,17935095.27391,17.93510,33.20099,99.43074,2828.42710
20/06/2017,06:45:00.00,33200286.63747,33.20029,57.17523,83.44157,4000.00000
21/06/2017,05:50:00.00,3101745.34810,3.10175,42.99508,99.77329,2000.00000
22/06/2017,03:30:00.00,5069089.71793,5.06909,7.55709,97.62727,1414.21360
22/06/2017,06:30:00.00,1854637.03488,1.85464,42.74134,82.68012,2236.06800
23/06/2017,05:35:00.00,4624171.96373,4.62417,57.15178,100.64411,2000.00000
24/06/2017,03:15:00.00,1500142.66535,1.50014,20.85645,81.72455,1414.21360
24/06/2017,06:20:00.00,2030020.20734,2.03002,20.73404,81.84910,1414.21360
26/06/2017,03:05:00.00,466128.27221,0.46613,42.82371,82.87842,1000.00000
26/06/2017,06:10:00.00,699487.76781,0.69949,7.71006,97.99344,1000.00000
28/06/2017,05:55:00.00,3407800.55335,3.40780,33.34018,99.35274,1414.21360
29/06/2017,03:35:00.00,967148.60589,0.96715,21.25943,98.77483,1000.00000
29/06/2017,06:40:00.00,544564.11312,0.54456,50.65148,83.05670,1000.00000
30/06/2017,05:45:00.00,4638366.74326,4.63837,50.88716,100.20532,2000.00000
01/07/2017,06:25:00.00,318101.41608,0.31810,32.71947,82.27661,0.00000
03/07/2017,03:10:00.00,7760828.92358,7.76083,32.90531,82.36332,2236.06800
03/07/2017,06:15:00.00,4435017.22322,4.43502,6.81504,80.85212,1414.21360
05/07/2017,02:55:00.00,16522823.76866,16.52282,50.79468,83.34930,4123.10560
05/07/2017,06:00:00.00,8428113.38209,8.42811,21.43583,98.90658,1414.21360
06/07/2017,03:40:00.00,620141.11262,0.62014,33.19901,99.43083,1414.21360
08/07/2017,03:30:00.00,4479079.70779,4.47908,7.61484,97.63997,1414.21360
09/07/2017,05:35:00.00,6095210.82620,6.09521,57.15081,100.64835,2236.06800
10/07/2017,03:15:00.00,5065536.28241,5.06554,20.74298,81.71886,2236.06800
10/07/2017,06:20:00.00,3095936.99753,3.09594,20.68375,81.84444,1414.21360
11/07/2017,04:00:00.00,3556057.92030,3.55606,57.16550,100.98998,2236.06800
12/07/2017,03:05:00.00,17027162.98051,17.02716,42.70599,82.87459,2828.42710
